COD_CLIENTE	COD_PEDIDO	CODIGO_PRODUTO	DEPTO	QUANTIDADE	VALOR_UNITARIO	QTD_PARCELAS	DT_PEDIDO	MEIO_PAGTO	STATUS_PAGAMENTO
2371415	920408	870086580	ELETRODOMESTICO	1	 51,70 	1	12/10/2015	CC	CANCELADO
2497792	1473259	869810080	TELEFONIA	1	 581,90 	1	17/04/2016	BOLETO	CANCELADO
2497792	1473259	877716615	TELEFONIA	3	 776,82 	1	17/04/2016	BOLETO	CANCELADO
2497792	1696613	873338276	TELEFONIA	2	 531,89 	8	21/10/2016	CC	APROVADO
2497792	1696613	903492015	TELEFONIA	1	 618,28 	8	21/10/2016	CC	APROVADO
2497792	1705176	775315932	AUDIO	2	 18,24 	6	23/10/2016	CC	APROVADO
2497792	1705176	784229865	AUDIO	2	 18,79 	6	23/10/2016	CC	APROVADO
2497792	1705176	2463824	AUDIO	2	 15,79 	6	23/10/2016	CC	APROVADO
2497792	1705176	2506524	AUDIO	4	 25,88 	6	23/10/2016	CC	APROVADO
2497792	1705176	47604864	AUDIO	2	 19,80 	6	23/10/2016	CC	CANCELADO
2497792	1718806	879948306	TELEFONIA	1	 836,98 	6	30/10/2016	CC	APROVADO
2497792	2013828	927077094	INFORMATICA	2	 946,79 	6	23/02/2018	CC	APROVADO
2497792	2049873	927309942	INFORMATICA	1	 1.398,13 	8	07/06/2018	CC	APROVADO
2497792	2072582	858909064	INFORMATICA	1	 899,98 	6	24/08/2018	CC	APROVADO
2497792	1424091	872503421	TELEFONIA	5	 607,53 	1	27/02/2016	BOLETO	APROVADO
2497792	1424091	877716615	TELEFONIA	5	 775,38 	1	27/02/2016	BOLETO	APROVADO
2497792	1324473	838255956	TELEFONIA	2	 291,59 	6	25/11/2015	CC	APROVADO
2497792	1324473	845105351	TELEFONIA	2	 237,30 	6	25/11/2015	CC	APROVADO
245340	2073020	880995030	DECORACAO	1	 140,38 	2	24/08/2018	CC	APROVADO
245340	858636	850986282	TELEFONIA	1	 395,09 	1	15/08/2015	BOLETO	APROVADO
245340	3816	51829035	TELEFONIA	1	 161,10 	3	11/04/2012	CC	APROVADO
245340	3885	52297468	TELEFONIA	1	 404,10 	3	12/04/2012	CC	APROVADO
245340	264244	796963173	TV	1	 1.539,95 	4	17/05/2014	CC	APROVADO
245340	280178	799294229	TELEFONIA	1	 345,45 	6	26/05/2014	CC	APROVADO
245340	845621	855684864	TELEFONIA	1	 530,09 	2	28/07/2015	CC	APROVADO
245340	848905	850986282	TELEFONIA	1	 413,09 	2	01/08/2015	CC	APROVADO
245340	849823	850986429	TELEFONIA	1	 413,09 	2	04/08/2015	CC	APROVADO
2829118	1508206	869810080	TELEFONIA	1	 611,09 	6	04/05/2016	CC	AGUARDANDO
2829118	2072996	925934610	TELEFONIA	1	 611,98 	8	24/08/2018	VOUCHER	APROVADO
2499041	1742981	879666045	TELEFONIA	1	 521,98 	4	16/11/2016	CC	APROVADO
2499041	2015274	921651737	TELEFONIA	1	 836,98 	6	28/02/2018	CC	APROVADO
2499041	2073014	927984042	TELEFONIA	1	 908,98 	8	24/08/2018	VOUCHER	APROVADO
2499041	1320881	869793504	TELEFONIA	1	 399,11 	5	24/11/2015	CC	APROVADO
2499041	1320881	869793686	TELEFONIA	1	 398,35 	5	24/11/2015	CC	APROVADO
2199173	1586668	873546400	ELETRODOMESTICO	2	 26,99 	1	28/06/2016	CC	APROVADO
2199173	1699858	892604789	INFORMATICA	1	 2.066,71 	6	22/10/2016	CC	APROVADO
2199173	1754547	901689011	TELEFONIA	1	 479,23 	1	20/11/2016	CC	APROVADO
2199173	1832995	843399885	BRINQUEDOS	1	 58,13 	1	24/01/2017	CC	APROVADO
2199173	1846289	806256996	PAPELARIA	1	 147,49 	4	19/02/2017	CC	APROVADO
2199173	1889782	876453381	BRINQUEDOS	1	 25,45 	2	21/05/2017	CC	APROVADO
2199173	1889782	903984556	ELETRODOMESTICO	1	 39,58 	2	21/05/2017	CC	APROVADO
2199173	1935478	862669800	MODA	1	 91,71 	2	03/10/2017	CC	APROVADO
2199173	2051897	898527713	BRINQUEDOS	1	 461,68 	6	12/06/2018	CC	APROVADO
2199173	2073077	903097236	BELEZA	1	 35,98 	2	25/08/2018	VOUCHER	APROVADO
2199173	812682	782795502	TELEFONIA	1	 190,88 	6	17/06/2015	CC	APROVADO
2199173	1371804	875200451	INFORMATICA	2	 852,61 	6	23/12/2015	CC	APROVADO
2199173	1499954	884322368	TELEFONIA	1	 1.070,18 	6	27/04/2016	CC	CANCELADO
2179901	1572629	869793504	TELEFONIA	1	 557,09 	10	16/06/2016	CC	APROVADO
2179901	2073007	927984042	TELEFONIA	1	 917,98 	8	24/08/2018	VOUCHER	APROVADO
2179901	807547	818431312	BAZAR	1	 169,10 	5	19/06/2015	CC	APROVADO
2179901	1280661	850888926	ELETRODOMESTICO	1	 39,02 	1	10/11/2015	CC	APROVADO
2179901	1406446	876692151	BAZAR	1	 278,00 	4	09/02/2016	CC	APROVADO
2179901	1413759	876692151	BAZAR	1	 242,00 	5	15/02/2016	CC	APROVADO
2663681	1667230	821220231	BRINQUEDOS	2	 16,64 	1	24/09/2016	BOLETO	AGUARDANDO
2663681	1408958	778723714	MODA	1	 0,90 	1	12/02/2016	BOLETO	APROVADO
2663681	1465805	873546400	ELETRODOMESTICO	1	 19,78 	1	14/04/2016	CC	APROVADO
2141102	1742131	878775932	BEBES	1	 44,98 	2	15/11/2016	CC	APROVADO
2141102	1742131	875183770	MODA	1	 44,08 	2	15/11/2016	CC	APROVADO
2141102	779122	844323003	DECORACAO	1	 29,84 	3	15/05/2015	CC	APROVADO
2141102	779122	846310471	DECORACAO	1	 65,46 	3	15/05/2015	CC	APROVADO
2702649	1793624	903984556	ELETRODOMESTICO	1	 26,80 	1	11/12/2016	CC	APROVADO
2702649	1831200	762741111	PAPELARIA	1	 50,83 	3	20/01/2017	CC	APROVADO
2702649	1946796	762741111	PAPELARIA	1	 54,88 	1	24/10/2017	CC	APROVADO
2702649	2040108	768530727	BELEZA	1	 8,09 	5	06/05/2018	CC	APROVADO
2702649	2040108	921651737	TELEFONIA	1	 827,98 	5	06/05/2018	CC	APROVADO
2702649	2065524	928265505	INFORMATICA	1	 1.024,18 	12	29/07/2018	CC	APROVADO
2702649	2073001	912286164	TELEFONIA	1	 827,98 	10	24/08/2018	CC	APROVADO
2702649	1427769	876453822	TELEFONIA	1	 782,09 	6	29/02/2016	CC	CANCELADO
2702649	1431638	849322991	TELEFONIA	1	 828,16 	6	04/03/2016	CC	APROVADO
2143255	1712635	842547194	BAZAR	1	 28,09 	1	26/10/2016	BOLETO	AGUARDANDO
2143255	1712635	844395201	BAZAR	1	 29,48 	1	26/10/2016	BOLETO	AGUARDANDO
2143255	1715072	905178833	BAZAR	1	 37,78 	1	27/10/2016	BOLETO	AGUARDANDO
2143255	1723457	856084319	DECORACAO	1	 66,61 	1	03/11/2016	CC	APROVADO
2210567	1633800	821220084	BRINQUEDOS	2	 13,49 	1	19/08/2016	BOLETO	CANCELADO
2210567	1737568	835760939	AUDIO	1	 57,58 	1	11/11/2016	BOLETO	CANCELADO
2210567	1954306	882858661	ACESSORIOS	1	 16,18 	1	04/11/2017	BOLETO	CANCELADO
2210567	1590911	813097921	AUDIO	1	 22,48 	1	02/07/2016	BOLETO	AGUARDANDO
2210567	1633806	821220084	BRINQUEDOS	2	 12,59 	1	19/08/2016	BOLETO	AGUARDANDO
2210567	1893436	864630073	AUDIO	1	 19,54 	3	30/05/2017	CC	APROVADO
2210567	1893436	51761730	AUDIO	1	 22,55 	3	30/05/2017	CC	APROVADO
2210567	1893436	882858661	MODA	2	 17,81 	3	30/05/2017	CC	APROVADO
2210567	1952901	882858661	ACESSORIOS	1	 16,18 	2	03/11/2017	CC	APROVADO
2210567	1952901	813098110	AUDIO	1	 19,58 	2	03/11/2017	CC	APROVADO
2210567	1952901	864631046	AUDIO	1	 15,49 	2	03/11/2017	CC	APROVADO
2210567	2072587	934217710	TELEFONIA	1	 782,98 	8	24/08/2018	CC	APROVADO
2210567	2072957	934217521	TELEFONIA	1	 782,98 	8	24/08/2018	VOUCHER	APROVADO
2210567	1373877	870595431	TELEFONIA	1	 725,48 	1	24/12/2015	BOLETO	APROVADO
261284	2072617	929263194	TELEFONIA	1	 755,98 	7	24/08/2018	VOUCHER	APROVADO
261284	12357	52113648	ELETRODOMESTICO	1	 134,10 	3	10/06/2012	CC	APROVADO
261284	12446	771793567	UTILIDADES	1	 71,01 	3	11/06/2012	CC	APROVADO
261284	16990	49823381	DECORACAO	1	 144,81 	3	28/06/2012	CC	APROVADO
261284	17030	37948651	ELETRO	1	 6,28 	3	28/06/2012	CC	APROVADO
261284	17030	775987260	LIVROS	1	 135,83 	3	28/06/2012	CC	APROVADO
261284	17187	35691396	ELETRO	1	 90,00 	3	29/06/2012	CC	APROVADO
261284	17241	52078452	LIVROS	1	 135,00 	3	29/06/2012	CC	APROVADO
261284	18456	775597122	DECORACAO	1	 146,66 	3	06/07/2012	CC	APROVADO
261284	18942	52598706	BELEZA	1	 442,77 	6	09/07/2012	CC	APROVADO
261284	18942	773336108	ELETRODOMESTICO	1	 8,94 	6	09/07/2012	CC	APROVADO
261284	19313	775265021	LIVROS	1	 180,00 	3	13/07/2012	CC	APROVADO
261284	19685	46525030	DECORACAO	1	 45,81 	3	15/07/2012	CC	APROVADO
261284	19686	52113648	ELETRODOMESTICO	1	 135,00 	3	15/07/2012	CC	APROVADO
261284	27766	778043902	DECORACAO	1	 124,20 	3	31/08/2012	CC	APROVADO
261284	30630	758198048	DECORACAO	1	 211,50 	3	19/09/2012	CC	APROVADO
261284	31023	772497368	TELEFONIA	1	 288,00 	3	20/09/2012	CC	APROVADO
261284	35659	762657104	BELEZA	1	 36,22 	3	20/10/2012	CC	APROVADO
261284	35659	775265021	LIVROS	1	 180,59 	3	20/10/2012	CC	APROVADO
261284	38583	2768037	BRINQUEDOS	1	 63,50 	3	02/11/2012	CC	APROVADO
261284	38583	772856447	DECORACAO	1	 127,12 	3	02/11/2012	CC	APROVADO
261284	43000	51807412	ELETRO	1	 162,36 	3	28/11/2012	CC	APROVADO
261284	46707	783789607	TELEFONIA	1	 720,00 	6	15/12/2012	CC	APROVADO
2165334	1511150	52232795	BRINQUEDOS	1	 35,13 	2	07/05/2016	CC	AGUARDANDO
2165334	1511150	873546512	ELETRODOMESTICO	1	 21,57 	2	07/05/2016	CC	AGUARDANDO
2165334	1511150	878973794	ELETRODOMESTICO	1	 42,17 	2	07/05/2016	CC	AGUARDANDO
2165334	1515990	791488494	UTILIDADES	1	 10,78 	1	11/05/2016	CC	AGUARDANDO
2165334	1528698	842918061	BRINQUEDOS	1	 22,91 	1	22/05/2016	CC	AGUARDANDO
2165334	1606384	880375691	TELEFONIA	1	 359,98 	6	19/07/2016	CC	APROVADO
2165334	1952741	873334706	BRINQUEDOS	1	 18,88 	1	03/11/2017	CC	APROVADO
2165334	2072613	841167354	DECORACAO	1	 85,48 	1	24/08/2018	CC	APROVADO
2165334	794070	35632792	BEBES	1	 92,93 	1	29/05/2015	CC	APROVADO
